"","No..x","Name","Yr.x","Pos.x","g.x","ab","r","h","Doubles","Triples","hr","rbi","bb","k","sb","cs","avg","obp","slg","No..y","Yr.y","Pos.y","g.y","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa","School","Singles","OPS","wOBA","wRAA","wSB","fOWar","wRC","Year","Position"
"137",21,"Alex Steele","Fr","0",3,1,0,1,0,0,0,2,0,"-",0,0,"1.000",0.667,1,21,"Fr","0",3,1,1,0,1,0,"-","-","1","-",3,"Trinity",0,1.667,0.2451,-0.257906976744186,-0.0176,-0.0131367497563014,0.387393023255814,"First-Year","Infield"
"138",25,"Cameron Crowley","Fr","0",14,0,0,0,0,0,0,0,1,"-",0,0,"-",1,0,25,"Fr","0",14,0,0,0,0,0,"-","-","-","-",1,"Trinity",0,1,0.7095,0.274031007751938,-0.0176,0.0216889476860233,0.593531007751938,"First-Year","Infield"
"139",4,"Casey  Santos-Ocampo","Sr.","IF / P",42,159,50,49,13,1,7,38,23,"23",10,0,"0.308",0.421,0.535,4,"Sr.","IF / P",42,11,4,1,85,21,"2","25","57","0.44",198,"Tufts",28,0.956,0.420854314720812,9.95438318970607,0.9088,1.30712449024746,60.3672938496046,"Senior","Infield"
"140",12,"Elias  Varinos","Jr.","SS/P",42,159,32,57,5,1,0,27,26,"13",8,2,"0.358",0.459,0.403,12,"Jr.","SS/P",42,6,3,2,64,6,"7","48","47","1.02",196,"Tufts",0,0.862,0.159055670103093,-29.9233245424758,0.2368,-1.73302329409749,8.44498885958604,"Junior","Infield"
"141",32,"Peter  DeMaria","Fr.","IF",39,144,37,52,18,1,2,40,22,"18",0,2,"0.361",0.484,0.542,32,"Fr.","IF",39,15,3,0,78,21,"3","26","49","0.53",184,"Tufts",31,1.026,0.454654891304348,14.0717054263566,-1.9968,1.36289212273128,62.3182054263566,"First-Year","Infield"
"142",1,"Will  Shackelford","Sr.","IF",41,143,29,42,10,1,0,22,18,"14",7,1,"0.294",0.385,0.378,1,"Sr.","IF",41,5,3,1,54,11,"4","43","41","1.05",170,"Tufts",0,0.763,0.182813609467456,-22.8230127058392,0.5952,-1.23960673945902,11.3635849272969,"Senior","Infield"
"143",6,"Justin  Mills","Jr.","OF",40,142,39,50,6,1,3,22,27,"22",6,3,"0.352",0.452,0.472,6,"Jr.","OF",40,3,5,7,67,10,"3","30","44","0.68",184,"Tufts",40,0.924,0.413310169491525,8.17447378793851,-1.232,0.978728077939509,54.7107766127973,"Junior","Outfield"
"144",2,"JP  Knight","Jr.","INF",38,130,28,40,9,2,3,26,14,"37",3,2,"0.308",0.391,0.477,2,"Jr.","INF",38,7,5,2,62,14,"6","21","36","0.58",158,"Tufts",26,0.868,0.382369230769231,3.22971973762671,-1.0272,0.559070838644714,42.0912376863447,"Junior","Infield"
"145",23,"Ryan  Day","Jr.","C/OF",36,116,26,33,7,0,1,19,19,"19",1,0,"0.284",0.421,0.371,23,"Jr.","C/OF",36,9,1,3,43,8,"2","37","25","1.48",148,"Tufts",0,0.792,0.215563448275862,-16.1121005078856,-0.2928,-0.858650237616187,14.7399794921144,"Junior","Catcher"
"146",7,"Kyle  Cortese","So.","IF",36,104,26,31,6,2,7,27,23,"25",1,0,"0.298",0.468,0.596,7,"So.","IF",36,11,1,2,62,15,"-","20","27","0.74",141,"Tufts",16,1.064,0.464678417266187,11.8788037476995,-0.68,1.19003022063619,49.1680289275557,"Sophomore","Infield"
"147",10,"Harrison  Frickman","Sr.","C",31,99,26,36,5,2,5,26,14,"15",5,0,"0.364",0.467,0.606,10,"Sr.","C",31,7,2,2,60,12,"1","22","30","0.73",124,"Tufts",24,1.073,0.466726229508197,10.6434515186174,0.208,1.12161563263104,43.4938974202567,"Senior","Catcher"
"148",5,"Will  Burgess","So.","IF",23,57,12,11,1,1,0,11,8,"6",1,2,"0.193",0.304,0.246,5,"So.","IF",23,2,2,1,14,2,"2","23","14","1.64",70,"Tufts",0,0.55,0.144704347826087,-11.4656555443209,-0.776,-0.741640884055953,2.01147489046175,"Sophomore","Infield"
"149",13,"Brandon  Bay","So.","OF",27,49,12,13,2,1,1,15,8,"10",0,0,"0.265",0.383,0.408,13,"So.","OF",27,2,1,0,20,4,"-","7","14","0.5",60,"Tufts",9,0.791,0.358835,0.131860465116281,-0.3344,0.134540453975769,14.5719604651163,"Sophomore","Outfield"
